time,ch1,ch2,ch3,ch4,ch5,ch1_Spike,ch2_Spike,ch3_Spike,ch4_Spike,ch5_Spike
0.129862,-0.008819,0.030652,0.007097,-0.036559,-0.020494,0,0,0,0,0
0.129864,-0.008819,0.031623,0.007744,-0.037852,-0.023406,0,0,0,0,0
0.129866,-0.008495,0.030652,0.008715,-0.039146,-0.026642,0,0,0,0,0
0.1298679999999999,-0.008819,0.029034,0.009685,-0.039792,-0.029231,0,0,0,0,0
0.1298699999999999,-0.00979,0.026122,0.010979,-0.039792,-0.030526,0,0,0,0,0
0.129872,-0.011731,0.02321,0.011302,-0.039146,-0.031497,0,0,0,0,0
0.129874,-0.014643,0.019974,0.011302,-0.037852,-0.031173,0,0,0,0,0
0.129876,-0.016908,0.01868,0.011302,-0.036882,-0.030526,0,0,0,0,0
0.129878,-0.018849,0.018356,0.010332,-0.035265,-0.030202,0,0,0,0,0
0.12988,-0.019496,0.018356,0.010008,-0.034295,-0.030849,0,0,0,0,0
0.129882,-0.020143,0.017709,0.009038,-0.034295,-0.031173,0,0,0,0,0
0.129884,-0.020466,0.016738,0.008068,-0.033325,-0.032467,0,0,0,0,0
0.129886,-0.020143,0.014797,0.007421,-0.033325,-0.033438,0,0,0,0,0
0.129888,-0.020143,0.01059,0.00645,-0.032678,-0.032791,0,0,0,0,0
0.12989,-0.020466,0.007354,0.005803,-0.031708,-0.031497,0,0,0,0,0
0.129892,-0.021114,0.004118,0.004833,-0.030738,-0.029879,0,0,0,0,0
0.129894,-0.021437,0.0025,0.003539,-0.029767,-0.02729,0,0,0,0,0
0.129896,-0.023055,0.000882,0.001922,-0.029767,-0.024701,0,0,0,0,0
0.129898,-0.023702,-0.000412,-1.8859e-05,-0.028474,-0.022112,0,0,0,0,0
0.1299,-0.023702,-0.000736,-0.001313,-0.028474,-0.020494,0,0,0,0,0
0.129902,-0.024025,-8.8422e-05,-0.002283,-0.02815,-0.019847,0,0,0,0,0
0.129904,-0.023055,-0.000412,-0.00293,-0.028797,-0.02017,0,0,0,0,0
0.129906,-0.023055,-0.001059,-0.00293,-0.028797,-0.020494,0,0,0,0,0
0.129908,-0.022408,-0.00203,-0.003253,-0.029444,-0.020494,0,0,0,0,0
0.12991,-0.022084,-0.003971,-0.003253,-0.030091,-0.02017,0,0,0,0,0
0.129912,-0.021437,-0.006237,-0.003577,-0.031061,-0.018876,0,0,0,0,0
0.129914,-0.021437,-0.007531,-0.003577,-0.031384,-0.018228,0,0,0,0,0
0.129916,-0.02079,-0.008825,-0.003577,-0.032354,-0.017258,0,0,0,0,0
0.129918,-0.020143,-0.008825,-0.003253,-0.032678,-0.016934,0,0,0,0,0
0.12992,-0.017878,-0.007531,-0.00293,-0.032678,-0.015963,0,0,0,0,0
0.129922,-0.01626,-0.006884,-0.002607,-0.033325,-0.015963,0,0,0,0,0
0.1299239999999999,-0.014319,-0.00656,-0.00196,-0.033325,-0.01564,0,0,0,0,0
